cod;nome;período;valor
21;MA;2020;2.48
17;TO;2020;3.62
16;AP;2020;1.2
15;PA;2020;2.85
14;RR;2020;27
13;AM;2020;5.74
12;AC;2020;7.23
11;RO;2020;4.03
24;RN;2020;1.81
25;PB;2020;2.36
26;PE;2020;2.57
27;AL;2020;0
28;SE;2020;2.59
29;BA;2020;2.84
31;MG;2020;2.41
32;ES;2020;2
35;SP;2020;1.69
41;PR;2020;3.74
42;SC;2020;2.19
43;RS;2020;3.46
50;MS;2020;5.08
51;MT;2020;4.6
52;GO;2020;2.71
53;DF;2020;2.34
14;RR;2021;10.4
17;TO;2021;7.89
21;MA;2021;2.59
22;PI;2021;3.9
23;CE;2021;2.71
24;RN;2021;1.35
25;PB;2021;2.19
26;PE;2021;2.73
27;AL;2021;0
28;SE;2021;1.08
29;BA;2021;3.24
31;MG;2021;1.9
32;ES;2021;3.32
33;RJ;2021;2.47
35;SP;2021;1.42
41;PR;2021;3.09
42;SC;2021;2.63
43;RS;2021;3.82
50;MS;2021;3.81
51;MT;2021;3.61
15;PA;2021;2.12
11;RO;2021;6.48
52;GO;2021;3.75
53;DF;2021;2.83
16;AP;2021;0
12;AC;2021;2.59
13;AM;2021;6.94
